city,total_num_connections,avg_delivery_percent,avg_active_connections,annual_Kwh_millions,year
GEERTRUIDENBERG,3301,8.09,100,0.541,2020
GEERTRUIDENBERG,3316,3.96,100,0.586,2018
GEFFEN,2034,5.94,100,0.571,2018
GEFFEN,2048,9.32,100,0.584,2019
GEFFEN,2060,15.79,100,0.567,2020
GELDROP,13488,5.56,100,2.649,2018
GELDROP,13505,14.79,100,2.51,2020
GELDROP,13500,10.28,100,2.576,2019
GEMERT,7302,15.45,100,1.675,2019
GEMERT,7407,21.13,100,1.626,2020
GEMERT,7251,10.83,100,1.711,2018
GEMONDE,945,9.43,100,0.3,2018
GEMONDE,921,19.46,100,0.302,2020
GEMONDE,945,13.49,100,0.296,2019
GENDEREN,687,8.71,100,0.188,2019
GENDEREN,685,13.19,100,0.183,2020
GENDEREN,705,5.65,100,0.193,2018
GIESSEN,744,7.07,100,0.213,2018
GIESSEN,747,12.32,100,0.199,2020
GIESSEN,747,9.03,100,0.199,2019
GILZE,3381,10.43,100,0.848,2019
GILZE,3358,14.02,100,0.821,2020
GILZE,3350,7.29,100,0.85,2018
GOIRLE,9279,5.66,100,1.833,2018
GOIRLE,9398,8.23,100,1.816,2019
GOIRLE,9417,12.14,100,1.773,2020
GOOR,5913,16.37,96.89,1.091,2019
GOOR,5920,19.68,96.69,1.04,2020
GOOR,5670,9.07,97.31,1.12,2018
GRAVE,4139,10.76,100,0.713,2020
GRAVE,4132,5.41,100,0.749,2018
GRAVE,4150,7.3,100,0.74,2019
GRIENDTSVEEN,229,19.95,100,0.054,2020
GRIENDTSVEEN,228,10.76,100,0.055,2018
GRIENDTSVEEN,227,13.97,100,0.053,2019
GROENINGEN,157,15.26,100,0.077,2018
GROENINGEN,172,17.75,100,0.082,2019
GROENINGEN,170,24.17,100,0.088,2020
HAAREN,2671,17.55,100,0.698,2020
HAAREN,2656,11.88,100,0.757,2019
HAAREN,2601,9.25,100,0.776,2018
HAARSTEEG,863,18.27,100,0.224,2020
HAARSTEEG,818,11.22,100,0.224,2019
HAARSTEEG,791,9.55,100,0.214,2018
HAGHORST,378,14.16,100,0.172,2020
HAGHORST,356,10.39,100,0.166,2019
HAGHORST,355,8.43,100,0.162,2018
HALFWEG,41,2.44,75.61,0.013,2019
HALFWEG,40,2.5,77.5,0.013,2018
HALFWEG,41,4.88,75.61,0.013,2020
HALSTEREN,5400,12.83,100,0.984,2018
HALSTEREN,5449,18.88,100,0.938,2020
HALSTEREN,5425,14.52,100,0.971,2019
HANDEL,808,13.46,100,0.229,2019
HANDEL,802,9.64,100,0.227,2018
HANDEL,808,18.67,100,0.224,2020
HANK,1678,15.81,100,0.384,2020
HANK,1639,12.02,100,0.4,2019
HANK,1659,7.57,100,0.404,2018
HAPERT,2490,11.13,100,0.582,2019
HAPERT,2463,8.89,100,0.595,2018
HAPERT,2503,16.15,100,0.564,2020
HAPS,1230,20.28,100,0.39,2020
HAPS,1208,12.94,100,0.394,2019
HAPS,1200,8.64,100,0.407,2018
"HAREN NB",278,15.39,100,0.1,2019
"HAREN NB",279,10.96,100,0.1,2018
"HAREN NB",285,17.62,100,0.097,2020
HEERLE,768,10.46,100,0.239,2018
HEERLE,777,13.67,100,0.232,2019
HEERLE,792,21.52,100,0.223,2020
HEESCH,5508,9.63,100,1.186,2019
HEESCH,5485,6.82,100,1.194,2018
HEESCH,5632,14.6,100,1.17,2020
HEESWIJK-DINTHER,3248,6.99,100,1.07,2018
HEESWIJK-DINTHER,3365,16.29,100,1.024,2020
HEESWIJK-DINTHER,3302,10.22,100,1.061,2019
HEEZE,4429,7.87,100,0.917,2018
HEEZE,4430,11.1,100,0.893,2019
HEEZE,4475,17.16,100,0.883,2020
HEIDE,205,17.03,100,0.156,2019
HEIDE,192,25.73,100,0.104,2020
HEIDE,202,13.65,100,0.145,2018
HEIJNINGEN,496,16.04,100,0.225,2020
HEIJNINGEN,498,12.09,100,0.218,2019
HEIJNINGEN,499,9.01,100,0.215,2018
HELENAVEEN,410,5.74,100,0.173,2019
HELENAVEEN,422,8.6,100,0.172,2020
HELENAVEEN,410,4.62,100,0.168,2018
HELMOND,41899,11.86,100,7.151,2020
HELMOND,41089,4.31,100,7.419,2018
HELMOND,41512,6.08,100,7.317,2019
HELVOIRT,2118,11.34,100,0.672,2018
HELVOIRT,2144,14.11,100,0.669,2019
HELVOIRT,2162,18.7,100,0.659,2020
HERPEN,1224,11.37,100,0.411,2019
HERPEN,1223,6.12,100,0.413,2018
HERPEN,1224,17.41,100,0.417,2020
HEUKELOM,133,24.87,100,0.072,2020
HEUKELOM,134,8.93,100,0.076,2018
HEUKELOM,112,14.87,100,0.061,2019
"HEUSDEN GEM ASTEN",919,14.99,100,0.621,2019
"HEUSDEN GEM ASTEN",927,18.73,100,0.564,2020
"HEUSDEN GEM ASTEN",921,10.92,100,0.655,2018
"HEUSDEN GEM HEUSDEN",2429,3.25,100,0.649,2018
"HEUSDEN GEM HEUSDEN",723,0.21,100,0.172,2019
"HEUSDEN GEM HEUSDEN",722,0.48,100,0.167,2020
HILVARENBEEK,3931,10.92,100,1.045,2019
HILVARENBEEK,3900,8.81,100,1.06,2018
HILVARENBEEK,3941,13.5,100,1.016,2020
HOEVEN,3111,7.31,100,0.738,2018
HOEVEN,3107,9.93,100,0.734,2019
HOEVEN,3097,14.79,100,0.702,2020
HOLTHEES,235,21.13,100,0.07,2019
HOLTHEES,228,18.04,100,0.071,2018
HOLTHEES,232,27.54,100,0.059,2020
HONSELERSDIJK,3204,6.38,99.9,0.861,2018
HONSELERSDIJK,3207,10.78,99.84,0.798,2020
HONSELERSDIJK,2981,3.65,99.94,1.054,2019
"HOOGE MIERDE",686,7.58,100,0.27,2018
"HOOGE MIERDE",689,8.92,100,0.275,2019
"HOOGE MIERDE",692,12.55,100,0.275,2020
"HOOGE ZWALUWE",751,12.99,100,0.224,2020
"HOOGE ZWALUWE",757,10.22,100,0.225,2019
"HOOGE ZWALUWE",756,8.41,100,0.232,2018
HOOGELOON,933,11.63,100,0.336,2019
HOOGELOON,927,15.13,100,0.338,2020
HOOGELOON,932,9.66,100,0.338,2018
HOOGERHEIDE,4222,5.85,100,0.891,2018
HOOGERHEIDE,4254,12.26,100,0.852,2020
HOOGERHEIDE,4242,8.92,100,0.879,2019
HUIJBERGEN,1028,9.78,100,0.269,2018
HUIJBERGEN,1029,12.87,100,0.269,2019
HUIJBERGEN,1028,16.03,100,0.249,2020
HUISSELING,133,15.61,100,0.056,2019
HUISSELING,133,11.13,100,0.057,2018
HUISSELING,132,23.59,100,0.053,2020
HULSEL,305,20.39,100,0.091,2020
HULSEL,302,14.32,100,0.1,2019
HULSEL,301,10.35,100,0.098,2018
HULTEN,161,17.12,100,0.08,2019
HULTEN,172,19.58,100,0.084,2020
HULTEN,157,5.28,100,0.085,2018
KAATSHEUVEL,7530,7.18,100,1.456,2019
KAATSHEUVEL,7510,5.05,100,1.491,2018
KAATSHEUVEL,7618,10.01,100,1.447,2020
"KATWIJK NB",207,7.62,100,0.102,2019
"KATWIJK NB",208,5.18,100,0.102,2018
"KATWIJK NB",207,12.11,100,0.094,2020
KEENT,11,9.09,100,0.012,2018
KEENT,11,9.09,100,0.013,2019
KEENT,11,18.18,100,0.012,2020
"KLEIN ZUNDERT",990,18.99,100,0.309,2020
"KLEIN ZUNDERT",1011,14.21,100,0.304,2019
"KLEIN ZUNDERT",1009,10.03,100,0.301,2018
KLUNDERT,2744,15.05,100,0.61,2020
KLUNDERT,2722,7.38,100,0.639,2018
KLUNDERT,2720,9.78,100,0.628,2019
KNEGSEL,590,10.51,100,0.207,2018
KNEGSEL,620,21.73,100,0.201,2020
KNEGSEL,622,14.55,100,0.207,2019
KRUISLAND,985,11.68,100,0.346,2019
KRUISLAND,986,17.09,100,0.312,2020
KRUISLAND,981,9.68,100,0.344,2018
KWINTSHEUL,1707,8.53,99.32,0.395,2018
KWINTSHEUL,1686,14.13,99.68,0.373,2020
KWINTSHEUL,1583,4.72,99.91,0.517,2019
"LAGE MIERDE",877,9.82,100,0.296,2018
"LAGE MIERDE",877,17.06,100,0.282,2020
"LAGE MIERDE",879,12.55,100,0.3,2019
"LAGE ZWALUWE",1866,7.86,100,0.447,2019
"LAGE ZWALUWE",1807,6.09,100,0.451,2018
"LAGE ZWALUWE",1880,12.71,100,0.422,2020
LANDHORST,313,12.01,100,0.248,2020
LANDHORST,324,9.11,100,0.236,2018
LANDHORST,324,9.78,100,0.242,2019
LANGENBOOM,963,16.46,100,0.338,2020
LANGENBOOM,967,13.01,100,0.328,2019
LANGENBOOM,956,10.35,100,0.336,2018
LANGEWEG,343,13.47,100,0.114,2019
LANGEWEG,344,10.94,100,0.112,2018
LANGEWEG,342,16.48,100,0.11,2020
LEDEACKER,322,9.59,100,0.111,2018
LEDEACKER,285,19.87,100,0.096,2020
LEDEACKER,293,13.75,100,0.107,2019
LEENDE,1981,11.2,100,0.603,2019
LEENDE,1974,7.76,100,0.599,2018
LEENDE,1985,15.43,100,0.59,2020
LEPELSTRAAT,890,18.39,100,0.249,2020
LEPELSTRAAT,892,15.29,100,0.256,2019
LEPELSTRAAT,891,12.47,100,0.26,2018
LEUNEN,928,25.14,100,0.362,2020
LEUNEN,920,13.07,100,0.384,2018
LEUNEN,932,17.53,100,0.378,2019
LIEMPDE,2002,10.99,100,0.603,2018
LIEMPDE,2002,18.44,100,0.584,2020
LIEMPDE,2002,13.81,100,0.606,2019
LIEROP,938,22.72,100,0.309,2020
LIEROP,940,16.16,100,0.319,2019
LIEROP,931,9.16,100,0.327,2018
LIESHOUT,1847,16.17,100,0.531,2020
LIESHOUT,1844,11.43,100,0.537,2019
LIESHOUT,1839,7.33,100,0.541,2018
LIESSEL,1438,11.05,100,0.404,2020
LIESSEL,1438,6.67,100,0.421,2019
LIESSEL,1430,4.97,100,0.449,2018
LINDEN,110,16.86,100,0.047,2019
LINDEN,111,12.43,100,0.046,2018
LINDEN,111,22.41,100,0.046,2020
LITH,1256,6.06,100,0.34,2018
LITH,1281,15.4,100,0.321,2020
LITH,1262,10.41,100,0.343,2019
LITHOIJEN,327,10.52,100,0.202,2018
LITHOIJEN,329,15.96,100,0.2,2019
LITHOIJEN,309,15.96,100,0.188,2020
"LOON OP ZAND",2827,11.06,100,0.537,2020
"LOON OP ZAND",2776,6.74,100,0.537,2019
"LOON OP ZAND",2779,4.98,100,0.545,2018
